"No.","Time","Source","Destination","Protocol","Length","Info"
"21461","35.759902","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21462","35.761011","192.168.2.212","184.150.37.140","UDP","76","59814  >  443 Len=34"
"21463","35.761653","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21464","35.761653","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21465","35.761653","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21466","35.761653","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21467","35.761653","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21468","35.761653","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21469","35.761653","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21470","35.761653","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21471","35.761653","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21472","35.761653","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21473","35.762441","192.168.2.212","184.150.37.140","UDP","76","59814  >  443 Len=34"
"21474","35.763400","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21475","35.763400","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21476","35.763400","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21477","35.763599","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21478","35.763599","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21479","35.763599","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21480","35.763599","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21481","35.763785","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21482","35.763785","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21483","35.763785","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21484","35.763889","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21485","35.764173","192.168.2.212","184.150.37.140","UDP","77","59814  >  443 Len=35"
"21486","35.765540","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21487","35.765540","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21488","35.765540","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21489","35.765540","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21490","35.765958","192.168.2.212","184.150.37.140","UDP","77","59814  >  443 Len=35"
"21491","35.769525","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21492","35.769525","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21493","35.769525","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21494","35.769525","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21495","35.769525","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21496","35.769525","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21497","35.769525","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21498","35.769525","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21499","35.770202","192.168.2.212","184.150.37.140","UDP","77","59814  >  443 Len=35"
"21500","35.779480","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21501","35.779480","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21502","35.779480","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21503","35.779480","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21504","35.779480","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21505","35.779480","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21506","35.779480","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21507","35.779480","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21508","35.779480","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21509","35.779480","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21510","35.779938","192.168.2.212","184.150.37.140","UDP","78","59814  >  443 Len=36"
"21511","35.781466","192.168.2.212","184.150.37.140","UDP","77","59814  >  443 Len=35"
"21512","35.789394","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21513","35.789394","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21514","35.789394","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21515","35.789394","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21516","35.789394","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21517","35.789394","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21518","35.789394","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21519","35.789394","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21520","35.789394","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21521","35.789394","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21522","35.789555","192.168.2.212","184.150.37.140","UDP","78","59814  >  443 Len=36"
"21523","35.790036","192.168.2.212","184.150.37.140","UDP","77","59814  >  443 Len=35"
"21524","35.794288","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21525","35.794288","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21526","35.794288","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21527","35.794288","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21528","35.794288","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21529","35.794288","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21530","35.794288","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
