"No.","Time","Source","Destination","Protocol","Length","Info"
"23424","36.668588","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23425","36.668588","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23426","36.668640","192.168.2.20","184.150.37.140","UDP","77","59673  >  443 Len=35"
"23427","36.669982","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23428","36.669982","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23429","36.670054","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23430","36.670116","192.168.2.20","184.150.37.140","UDP","77","59673  >  443 Len=35"
"23431","36.671491","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23432","36.671491","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23433","36.671491","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23434","36.671776","192.168.2.20","184.150.37.140","UDP","76","59673  >  443 Len=34"
"23435","36.672920","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23436","36.672920","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23437","36.673084","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23438","36.673380","192.168.2.20","184.150.37.140","UDP","76","59673  >  443 Len=34"
"23439","36.674389","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23440","36.674389","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23441","36.674560","192.168.2.20","184.150.37.140","UDP","76","59673  >  443 Len=34"
"23442","36.675823","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23443","36.675823","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23444","36.675891","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23445","36.675977","192.168.2.20","184.150.37.140","UDP","76","59673  >  443 Len=34"
"23446","36.677292","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23447","36.677429","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23448","36.677429","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23449","36.677473","192.168.2.20","184.150.37.140","UDP","76","59673  >  443 Len=34"
"23450","36.678723","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23451","36.678854","192.168.2.20","184.150.37.140","UDP","76","59673  >  443 Len=34"
"23452","36.678952","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23453","36.678952","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23454","36.680273","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23455","36.680359","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23456","36.680359","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23457","36.680422","192.168.2.20","184.150.37.140","UDP","76","59673  >  443 Len=34"
"23458","36.681754","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23459","36.681754","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23460","36.681909","192.168.2.20","184.150.37.140","UDP","76","59673  >  443 Len=34"
"23461","36.683237","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23462","36.683237","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23463","36.683315","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23464","36.683425","192.168.2.20","184.150.37.140","UDP","76","59673  >  443 Len=34"
"23465","36.684697","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23466","36.684697","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23467","36.684879","192.168.2.20","184.150.37.140","UDP","76","59673  >  443 Len=34"
"23468","36.684929","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23469","36.686181","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23470","36.686181","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23471","36.686261","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23472","36.686372","192.168.2.20","184.150.37.140","UDP","76","59673  >  443 Len=34"
"23473","36.687655","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23474","36.687655","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23475","36.687759","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23476","36.687892","192.168.2.20","184.150.37.140","UDP","76","59673  >  443 Len=34"
"23477","36.689154","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23478","36.689154","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23479","36.689235","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23480","36.689350","192.168.2.20","184.150.37.140","UDP","76","59673  >  443 Len=34"
